Industry,Job Title,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,About Us,Products and Services
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Tech Hawks Pty Ltd,https://www.yellowpages.com.au/vic/melbourne-st-kilda-road/tech-hawks-pty-ltd-1000002859537-listing.html,(03) 7046 3358,,,470 St Kilda Rd,Melbourne St Kilda Road,VIC,3004.0,"470 St Kilda Rd, Melbourne St Kilda Road VIC 3004",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Mobilise It,https://www.yellowpages.com.au/vic/abbotsford/mobilise-it-14883399-listing.html,(03) 8456 7555,,,376 Johnston St,Abbotsford,VIC,3067.0,"376 Johnston St, Abbotsford VIC 3067",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Computer Technician HQ,https://www.yellowpages.com.au/vic/flemington/computer-technician-hq-1000002930258-listing.html,(03) 9044 3259,,,31-37 Victoria St,Flemington,VIC,3031.0,"31-37 Victoria St, Flemington VIC 3031",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Mac + Aid,https://www.yellowpages.com.au/vic/burnley/mac-aid-12432197-listing.html,1800 762 040,,,,Burnley,VIC,3121,Burnley VIC 3121,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Simplyfy IT solutions,https://www.yellowpages.com.au/vic/hawthorn/simplyfy-it-solutions-1000002863236-listing.html,0412 331 183,,,159 Burwood Rd,Hawthorn,VIC,3122.0,"159 Burwood Rd, Hawthorn VIC 3122",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,A 24/7 Mobile PC & Mac & Linux Computer / Notebook / Network / Cartridge / Data Recovery / Printer Doctor,https://www.yellowpages.com.au/vic/st-kilda/a-24-7-mobile-pc-mac-linux-computer-notebook-network-cartridge-data-recovery-printer-doctor-12911670-listing.html,(03) 9537 2742,,,"Unit 8, 2 Kipling St",St Kilda,VIC,3182.0,"Unit 8, 2 Kipling St, St Kilda VIC 3182",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Resilience It,https://www.yellowpages.com.au/vic/hawthorn/resilience-it-1000002912271-listing.html,(03) 9124 3710,,,56 Manningtree Rd,Hawthorn,VIC,3122.0,"56 Manningtree Rd, Hawthorn VIC 3122",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,My Tech Xpertz,https://www.yellowpages.com.au/vic/armadale/my-tech-xpertz-15094431-listing.html,1800 221 954,,,7/ 70 Denbigh Rd,Armadale,VIC,3143.0,"7/ 70 Denbigh Rd, Armadale VIC 3143",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Creative Lifestyle Assistants,https://www.yellowpages.com.au/vic/northcote/creative-lifestyle-assistants-15633458-listing.html,0402 288 240,,,Kellett St,Northcote,VIC,3070.0,"Kellett St, Northcote VIC 3070",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Tech Triangle,https://www.yellowpages.com.au/vic/fairfield/tech-triangle-14534948-listing.html,0433 834 308,,,194 Station St,Fairfield,VIC,3078.0,"194 Station St, Fairfield VIC 3078",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Restart Computer Services,https://www.yellowpages.com.au/vic/ripponlea/restart-computer-services-12801245-listing.html,(03) 9528 4200,,,52 Glen Eira Rd,Ripponlea,VIC,3185.0,"52 Glen Eira Rd, Ripponlea VIC 3185",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Ruztech,https://www.yellowpages.com.au/vic/elwood/ruztech-14415253-listing.html,0413 735 415,,,,Elwood,VIC,3184,Elwood VIC 3184,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Babeltech,https://www.yellowpages.com.au/vic/malvern/babeltech-13724094-listing.html,(03) 9017 0155,,,,Malvern,VIC,3144,Malvern VIC 3144,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,"CHATZIKOSTAS, KONSTANTINOS",https://www.yellowpages.com.au/vic/coburg/chatzikostas-konstantinos-1000002857689-listing.html,0478 953 120,,,146 Bell St,Coburg,VIC,3058.0,"146 Bell St, Coburg VIC 3058",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Intelligen Technology Solutions,https://www.yellowpages.com.au/vic/glen-iris/intelligen-technology-solutions-14226019-listing.html,1300 787 471,,,Suite 75 1501 Malvern Rd,Glen Iris,VIC,3146.0,"Suite 75 1501 Malvern Rd, Glen Iris VIC 3146",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,ITswitch Onsite Computer Support,https://www.yellowpages.com.au/vic/elsternwick/itswitch-onsite-computer-support-13149086-listing.html,(03) 9038 9499,,,,Elsternwick,VIC,3185,Elsternwick VIC 3185,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,IT Support Care,https://www.yellowpages.com.au/vic/camberwell/it-support-care-1000001894161-listing.html,1300 797 866,,,,Camberwell,VIC,3124,Camberwell VIC 3124,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Quick I.T Support,https://www.yellowpages.com.au/vic/ivanhoe/quick-it-support-1000002802417-listing.html,0491 681 605,,,443 Upper Heidelberg Rd,Ivanhoe,VIC,3079.0,"443 Upper Heidelberg Rd, Ivanhoe VIC 3079",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Wintuition,https://www.yellowpages.com.au/vic/bulleen/wintuition-12203086-listing.html,(03) 9858 2977,,,47 Flinders St,Bulleen,VIC,3105.0,"47 Flinders St, Bulleen VIC 3105",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Turtle Technologies,https://www.yellowpages.com.au/vic/oakleigh/turtle-technologies-13136028-listing.html,0411 239 331,,,,Oakleigh,VIC,3166,Oakleigh VIC 3166,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Gallagher Computing,https://www.yellowpages.com.au/vic/hampton-east/gallagher-computing-12580503-listing.html,(03) 9555 6485,,,,Hampton East,VIC,3188,Hampton East VIC 3188,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Challenger Momentum Pty Ltd,https://www.yellowpages.com.au/vic/tullamarine/challenger-momentum-pty-ltd-15153973-listing.html,(03) 9334 5595,,,3/ 68 Lambeck Dr,Tullamarine,VIC,3043.0,"3/ 68 Lambeck Dr, Tullamarine VIC 3043",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Lupr,https://www.yellowpages.com.au/vic/bundoora/lupr-14808964-listing.html,0467 651 218,,,,Bundoora,VIC,3083,Bundoora VIC 3083,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,The Technology Store,https://www.yellowpages.com.au/vic/campbellfield/the-technology-store-15385161-listing.html,(03) 9657 7141,,,100 Barry Rd,Campbellfield,VIC,3061.0,"100 Barry Rd, Campbellfield VIC 3061",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Newitt Pty Ltd,https://www.yellowpages.com.au/vic/blackburn/newitt-pty-ltd-12890507-listing.html,(03) 9894 0095,,,,Blackburn,VIC,3130,Blackburn VIC 3130,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Ex-tech Solutions,https://www.yellowpages.com.au/vic/derrimut/ex-tech-solutions-1000002935713-listing.html,0421 059 069,,,1-11 Elgar Rd,Derrimut,VIC,3030.0,"1-11 Elgar Rd, Derrimut VIC 3030",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,NDC Infotech Pty Ltd,https://www.yellowpages.com.au/vic/attwood/ndc-infotech-pty-ltd-14520827-listing.html,0447 582 870,,,12 Coach House Dr,Attwood,VIC,3049.0,"12 Coach House Dr, Attwood VIC 3049",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,roboto co.,https://www.yellowpages.com.au/vic/burwood-east/roboto-co-1000001904592-listing.html,0499 771 626,,,,Burwood East,VIC,3151,Burwood East VIC 3151,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Webgate Networking Solutions,https://www.yellowpages.com.au/vic/moorabbin/webgate-networking-solutions-13964516-listing.html,1300 932 428,,,Unit 27/ 26-28 Roberna St,Moorabbin,VIC,3189.0,"Unit 27/ 26-28 Roberna St, Moorabbin VIC 3189",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Newitt Scott,https://www.yellowpages.com.au/vic/blackburn/newitt-scott-12650119-listing.html,(03) 9894 0095,,,1 Fulview Ct,Blackburn,VIC,3130.0,"1 Fulview Ct, Blackburn VIC 3130",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,TS9,https://www.yellowpages.com.au/vic/clayton-north/ts9-12710488-listing.html,1300 562 999,,,1899 Princes Hwy,Clayton North,VIC,3168.0,"1899 Princes Hwy, Clayton North VIC 3168",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,L&A SunTech,https://www.yellowpages.com.au/vic/clayton/la-suntech-1000001928429-listing.html,0433 647 312,,,2/77-79 Harlington St,Clayton,VIC,3168.0,"2/77-79 Harlington St, Clayton VIC 3168",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,DMI Technologies,https://www.yellowpages.com.au/vic/mill-park/dmi-technologies-14531217-listing.html,0413 325 397,,,2 Hogan Pl,Mill Park,VIC,3082.0,"2 Hogan Pl, Mill Park VIC 3082",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,eTech Computer Solutions,https://www.yellowpages.com.au/vic/forest-hill/etech-computer-solutions-14599358-listing.html,0430 518 404,,,19 Radiant Crst,Forest Hill,VIC,3131.0,"19 Radiant Crst, Forest Hill VIC 3131",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Australia Router Support,https://www.yellowpages.com.au/vic/notting-hill/australia-router-support-1000001715613-listing.html,1800 987 893,,,,Notting Hill,VIC,3168,Notting Hill VIC 3168,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Your Computer Clinician,https://www.yellowpages.com.au/vic/notting-hill/your-computer-clinician-15420836-listing.html,0432 472 371,,,8 Samada St,Notting Hill,VIC,3168.0,"8 Samada St, Notting Hill VIC 3168",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Nerdy Help For Hire,https://www.yellowpages.com.au/vic/taylors-lakes/nerdy-help-for-hire-14332396-listing.html,0488 637 396,,,,Taylors Lakes,VIC,3038,Taylors Lakes VIC 3038,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,ZARBTECH PTY LTD,https://www.yellowpages.com.au/vic/ravenhall/zarbtech-pty-ltd-1000002894357-listing.html,(03) 8001 4049,,,10 Ravenhall Way,Ravenhall,VIC,3023.0,"10 Ravenhall Way, Ravenhall VIC 3023",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Right Click IT Pty Ltd,https://www.yellowpages.com.au/vic/clayton/right-click-it-pty-ltd-14687214-listing.html,1300 885 366,,,Ste 54/ 195 Wellington Rd,Clayton,VIC,3168.0,"Ste 54/ 195 Wellington Rd, Clayton VIC 3168",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Nerds On Wheels,https://www.yellowpages.com.au/vic/clayton-south/nerds-on-wheels-13284776-listing.html,0403 578 025,,,65 Main Rd,Clayton South,VIC,3169.0,"65 Main Rd, Clayton South VIC 3169",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,IT Experts Australia,https://www.yellowpages.com.au/vic/roxburgh-park/it-experts-australia-15301601-listing.html,0414 156 250,,,,Roxburgh Park,VIC,3064,Roxburgh Park VIC 3064,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Pronet Technology,https://www.yellowpages.com.au/vic/mulgrave/pronet-technology-14340153-listing.html,(03) 9873 8386,,,30 Miles St,Mulgrave,VIC,3170.0,"30 Miles St, Mulgrave VIC 3170",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Silver Mink Pty Ltd,https://www.yellowpages.com.au/vic/ringwood/silver-mink-pty-ltd-1000002780700-listing.html,(03) 9341 5667,,,50 New St,Ringwood,VIC,3134.0,"50 New St, Ringwood VIC 3134",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Drennco Pty Ltd,https://www.yellowpages.com.au/vic/point-cook/drennco-pty-ltd-15368233-listing.html,1300 909 250,,,8 Yaramba Blv,Point Cook,VIC,3030.0,"8 Yaramba Blv, Point Cook VIC 3030",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Aussie Techies,https://www.yellowpages.com.au/vic/springvale/aussie-techies-1000000748222-listing.html,1800 233 523,,,39 Phillip Ave,Springvale,VIC,3171.0,"39 Phillip Ave, Springvale VIC 3171",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Infinity Tech,https://www.yellowpages.com.au/vic/tarneit/infinity-tech-15354941-listing.html,0408 945 689,,,38 Clarafield Cres,Tarneit,VIC,3029.0,"38 Clarafield Cres, Tarneit VIC 3029",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,GP4Computers,https://www.yellowpages.com.au/vic/noble-park/gp4computers-1000002169426-listing.html,0424 943 881,,,,Noble Park,VIC,3174,Noble Park VIC 3174,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,In Home IT Solutions,https://www.yellowpages.com.au/vic/doreen/in-home-it-solutions-15092062-listing.html,0415 222 547,,,13 Morton Cl,Doreen,VIC,3754.0,"13 Morton Cl, Doreen VIC 3754",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Loyfam Pty Ltd,https://www.yellowpages.com.au/vic/ringwood-east/loyfam-pty-ltd-12111208-listing.html,1300 591 706,,,8 Lucania Cl,Ringwood East,VIC,3135.0,"8 Lucania Cl, Ringwood East VIC 3135",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,CC IT Support Services,https://www.yellowpages.com.au/vic/rowville/cc-it-support-services-1000002941853-listing.html,0421 163 546,,,,Rowville,VIC,3178,Rowville VIC 3178,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,CSIT Pty Ltd,https://www.yellowpages.com.au/vic/bayswater/csit-pty-ltd-12943969-listing.html,(03) 8711 4891,,,,Bayswater,VIC,3153,Bayswater VIC 3153,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Tom's PC Repairs,https://www.yellowpages.com.au/vic/tarneit/toms-pc-repairs-14954888-listing.html,0478 691 256,,,29 Hollows Cct,Tarneit,VIC,3029.0,"29 Hollows Cct, Tarneit VIC 3029",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,GOGEEKS PTY LIMITED,https://www.yellowpages.com.au/vic/tarneit/gogeeks-pty-limited-1000002925423-listing.html,(03) 7066 8877,,,19 Tarlo Dr,Tarneit,VIC,3029.0,"19 Tarlo Dr, Tarneit VIC 3029",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Plug N Play Technologies,https://www.yellowpages.com.au/vic/werribee/plug-n-play-technologies-1000001894138-listing.html,0404 455 583,,,,Werribee,VIC,3030,Werribee VIC 3030,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Fly on IT,https://www.yellowpages.com.au/vic/werribee/fly-on-it-14781104-listing.html,0401 683 840,,,2/ 215 Walton St,Werribee,VIC,3030.0,"2/ 215 Walton St, Werribee VIC 3030",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Canaan Network,https://www.yellowpages.com.au/vic/dandenong/canaan-network-14525725-listing.html,(03) 9706 7601,,,173 Lonsdale St,Dandenong,VIC,3175.0,"173 Lonsdale St, Dandenong VIC 3175",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Woods Printer And Computer Services,https://www.yellowpages.com.au/vic/sunbury/woods-printer-and-computer-services-1000002791332-listing.html,(03) 9740 6157,,,1 Perceval St,Sunbury,VIC,3429.0,"1 Perceval St, Sunbury VIC 3429",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Peak Technology Solutions,https://www.yellowpages.com.au/vic/hallam/peak-technology-solutions-12206222-listing.html,(03) 8786 3089,,,Lvl 1/ 22 Rimfire Dr,Hallam,VIC,3803.0,"Lvl 1/ 22 Rimfire Dr, Hallam VIC 3803",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Computer Techs Onsite,https://www.yellowpages.com.au/vic/hampton-park/computer-techs-onsite-11981996-listing.html,(03) 9799 8884,,,,Hampton Park,VIC,3976,Hampton Park VIC 3976,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Seewoochurn T,https://www.yellowpages.com.au/vic/hampton-park/seewoochurn-t-1000001880748-listing.html,(03) 9799 2498,,,17 General Joshua Dr,Hampton Park,VIC,3976.0,"17 General Joshua Dr, Hampton Park VIC 3976",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Background Processing,https://www.yellowpages.com.au/vic/mt-evelyn/background-processing-12721794-listing.html,0438 524 845,,,,Mt Evelyn,VIC,3796,Mt Evelyn VIC 3796,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,ViTec Computer Support,https://www.yellowpages.com.au/vic/narre-warren/vitec-computer-support-14745677-listing.html,0466 626 646,,,2 Terry Cl,Narre Warren,VIC,3805.0,"2 Terry Cl, Narre Warren VIC 3805",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,AAA Computing Repairs & Services,https://www.yellowpages.com.au/vic/melton-west/aaa-computing-repairs-services-15647307-listing.html,0428 751 093,,,,Melton West,VIC,3337,Melton West VIC 3337,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Buddies Computers,https://www.yellowpages.com.au/vic/carrum-downs/buddies-computers-1000001904583-listing.html,0412 668 502,,,2 Marisa Ct,Carrum Downs,VIC,3201.0,"2 Marisa Ct, Carrum Downs VIC 3201",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Design Box,https://www.yellowpages.com.au/vic/frankston/design-box-13240600-listing.html,(03) 9776 9779,,,,Frankston,VIC,3199,Frankston VIC 3199,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Pago Group The,https://www.yellowpages.com.au/vic/mornington/pago-group-the-13230349-listing.html,1300 724 601,,,,Mornington,VIC,3931,Mornington VIC 3931,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,WebbMaster Technologies,https://www.yellowpages.com.au/vic/langwarrin/webbmaster-technologies-15510440-listing.html,0422 676 697,,,2 Altarnun Rd,Langwarrin,VIC,3910.0,"2 Altarnun Rd, Langwarrin VIC 3910",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Universal Computers,https://www.yellowpages.com.au/vic/mt-martha/universal-computers-1000001919622-listing.html,0497 128 086,,,Fiona,Mt Martha,VIC,3934.0,"Fiona, Mt Martha VIC 3934",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,FOCUSED IT PTY LTD,https://www.yellowpages.com.au/vic/merricks-north/focused-it-pty-ltd-1000002830231-listing.html,(03) 9088 6282,,,214 Balnarring Rd,Merricks North,VIC,3926.0,"214 Balnarring Rd, Merricks North VIC 3926",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Triweb Digital,https://www.yellowpages.com.au/vic/geelong/triweb-digital-1000001801939-listing.html,0433 681 143,,,Separation St,Geelong,VIC,3220.0,"Separation St, Geelong VIC 3220",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Evongo,https://www.yellowpages.com.au/vic/newtown/evongo-14960237-listing.html,(03) 5228 3000,,,1/ 55 West Fyans St,Newtown,VIC,3220.0,"1/ 55 West Fyans St, Newtown VIC 3220",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Gillian Heintze Computers Technical Support,https://www.yellowpages.com.au/vic/belmont/gillian-heintze-computers-technical-support-1000002824644-listing.html,0427 003 422,,,,Belmont,VIC,3216,Belmont VIC 3216,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Computing Help,https://www.yellowpages.com.au/vic/warragul/computing-help-14881190-listing.html,0412 420 926,,,16 Roseleigh St,Warragul,VIC,3820.0,"16 Roseleigh St, Warragul VIC 3820",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Reynolds Bros. I.T.,https://www.yellowpages.com.au/vic/euroa/reynolds-bros-it-15337708-listing.html,0432 536 486,,,,Euroa,VIC,3666,Euroa VIC 3666,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Applied Algorithms,https://www.yellowpages.com.au/vic/bendigo/applied-algorithms-1000002799556-listing.html,(03) 5444 1897,,,,Bendigo,VIC,3550,Bendigo VIC 3550,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Bendigo Onsite IT Support,https://www.yellowpages.com.au/vic/bendigo/bendigo-onsite-it-support-14223198-listing.html,0413 553 155,,,,Bendigo,VIC,3550,Bendigo VIC 3550,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,MC IT Services,https://www.yellowpages.com.au/vic/morwell/mc-it-services-1000001894200-listing.html,0423 428 990,,,,Morwell,VIC,3840,Morwell VIC 3840,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,QWA Computers,https://www.yellowpages.com.au/vic/california-gully/qwa-computers-14052015-listing.html,(03) 5410 0473,,,,California Gully,VIC,3556,California Gully VIC 3556,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,CKM Tech Support,https://www.yellowpages.com.au/vic/traralgon/ckm-tech-support-1000002143936-listing.html,0425 160 124,,,135 Liddiard Rd,Traralgon,VIC,3844.0,"135 Liddiard Rd, Traralgon VIC 3844",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,PC-ENZ,https://www.yellowpages.com.au/vic/toolamba/pc-enz-12819593-listing.html,0405 044 407,,,25 Lockwood Lane,Toolamba,VIC,3614.0,"25 Lockwood Lane, Toolamba VIC 3614",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Alpine Computers,https://www.yellowpages.com.au/vic/harrietville/alpine-computers-14014929-listing.html,0418 652 648,,,,Harrietville,VIC,3741,Harrietville VIC 3741,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Right Choice Computing,https://www.yellowpages.com.au/vic/wodonga/right-choice-computing-15505625-listing.html,(02) 6051 5678,,,,Wodonga,VIC,3690,Wodonga VIC 3690,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Cyber Technology,https://www.yellowpages.com.au/vic/mildura/cyber-technology-1000002787045-listing.html,(03) 5065 9383,,,9 Noyce Ct,Mildura,VIC,3500.0,"9 Noyce Ct, Mildura VIC 3500",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,IT Help,https://www.yellowpages.com.au/sup/it-help-1000002710988-listing.html,(03) 9038 4358,,,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,ITialise,https://www.yellowpages.com.au/sup/itialise-14246469-listing.html,1300 792 900,,,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Hotel IT Support Specialist,Armstrong Personnel Pty Ltd,https://www.yellowpages.com.au/vic/malvern/armstrong-personnel-pty-ltd-12610234-listing.html,(03) 9822 7988,payroll@armstrongpersonnel.com.au,http://www.armstrongpersonnel.com.au,1358 Malvern Rd,Malvern,VIC,3144.0,"1358 Malvern Rd, Malvern VIC 3144","About Armstrong Personnel Pty Ltd
Armstrong Personnel Pty Ltd helps in getting temporary, permanent & contract placements.
Armstrong Personnel Pty Ltd has been involved in the recruitment industry since 1972. In that time, we have established ourselves as a productive and successful company. Our clients cover a broad spectrum of businesses, in all types of industries, professions and services. Our company has built an enviable reputation as a highly reliable and professional organisation.
About Us
Our commitment is to manage and monitor the end-to-end recruitment process for both the client and candidate. Our role is to acquire knowledge of the position to be filled and then to construct a thorough and comprehensive position description. The next steps in our recruitment process consist of searching for candidates, screening, interviewing, skills testing and reference checking.
Payment Methods
EFT
ABN
84 738 118 081
Staff
1-10
Established
1972","Hours of Operation
Open Monday - Friday
Services
Career Guidance, Exit Interviews, Interview Preparation, Resume Design, Resume Preparation
Occupation
Accountants, Administrative Workers, Architects, Bookkeepers, CAD Operators, Clerical Workers, Contracts, Data Entry Operators, Draftsmen, Executives, Geologists, IT Support, Part Time, Permanent, Personal Assistants, Receptionists, Secretaries, Surveyors, Technical Support, Temporary
Features
Australian Owned, By Appointment, RCSA
Catering To
Accounting, Bookkeeping, Data Entry, Desktop Publishing, Drafting, Engineering, Environmental Services, Graphic Design, Management, Mining, Oil, Rail, Real Estate, Technical, Telemarketing, Word Processing
Keywords
Employment Services VIC, Jobs, Employment, Employment Services, Placements, Armstrong Personnel Pty Ltd, Resume, Specialist Recruiters, Recruitment, Interview"
